teamA;teamB;score
Chelsea;Valencia;1
Schalke 04;Rosenborg;0
Real Madrid;Werder Bremen;0
Olympiacos;Lazio;1
Werder Bremen;Olympiacos;2
Lazio;Real Madrid;1
Werder Bremen;Lazio;0
Real Madrid;Olympiacos;0
Lazio;Werder Bremen;0
Olympiacos;Real Madrid;1
Werder Bremen;Real Madrid;0
Lazio;Olympiacos;2
Real Madrid;Lazio;0
Olympiacos;Werder Bremen;0
Milan;Benfica;0
Shakhtar Donetsk;Celtic;0
Celtic;Milan;0
Benfica;Shakhtar Donetsk;2
Milan;Shakhtar Donetsk;0
Benfica;Celtic;0
Shakhtar Donetsk;Milan;2
Celtic;Benfica;0
Benfica;Milan;1
Celtic;Shakhtar Donetsk;0
Milan;Celtic;0
Shakhtar Donetsk;Benfica;2
Rangers;Stuttgart;0
Barcelona;Lyon;0
Stuttgart;Barcelona;2
Lyon;Rangers;2
Rangers;Barcelona;1
Stuttgart;Lyon;2
Lyon;Stuttgart;0
Barcelona;Rangers;0
Stuttgart;Rangers;0
Lyon;Barcelona;1
Rangers;Lyon;2
Barcelona;Stuttgart;0
Sporting CP;Manchester United;2
Roma;Dynamo Kyiv;0
Manchester United;Roma;0
Dynamo Kyiv;Sporting CP;2
Roma;Sporting CP;0
Dynamo Kyiv;Manchester United;2
Sporting CP;Roma;1
Manchester United;Dynamo Kyiv;0
Dynamo Kyiv;Roma;2
Manchester United;Sporting CP;0
Roma;Manchester United;1
Sporting CP;Dynamo Kyiv;0
Fenerbahe;Internazionale;0
PSV Eindhoven;CSKA Moscow;0
CSKA Moscow;Fenerbahe;1
Internazionale;PSV Eindhoven;0
PSV Eindhoven;Fenerbahe;1
CSKA Moscow;Internazionale;2
Fenerbahe;PSV Eindhoven;0
Internazionale;CSKA Moscow;0
CSKA Moscow;PSV Eindhoven;2
Internazionale;Fenerbahe;0
PSV Eindhoven;Internazionale;2
Fenerbahe;CSKA Moscow;0
Arsenal;Sevilla;0
Slavia Prague;Steaua Bucureti;0
Steaua Bucureti;Arsenal;2
Sevilla;Slavia Prague;0
Sevilla;Steaua Bucureti;0
Arsenal;Slavia Prague;0
Steaua Bucureti;Sevilla;2
Slavia Prague;Arsenal;1
Sevilla;Arsenal;0
Steaua Bucureti;Slavia Prague;1
Arsenal;Steaua Bucureti;0
Slavia Prague;Sevilla;2
Chelsea;Bordeaux;0
Roma;CFR Cluj;2
CFR Cluj;Chelsea;1
Bordeaux;Roma;2
Bordeaux;CFR Cluj;0
Chelsea;Roma;0
CFR Cluj;Bordeaux;2
Roma;Chelsea;0
Bordeaux;Chelsea;1
CFR Cluj;Roma;2
Chelsea;CFR Cluj;0
Roma;Bordeaux;0
Panathinaikos;Internazionale;2
Werder Bremen;Anorthosis Famagusta;1
Anorthosis Famagusta;Panathinaikos;0
Internazionale;Werder Bremen;1
Internazionale;Anorthosis Famagusta;0
Panathinaikos;Werder Bremen;1
Anorthosis Famagusta;Internazionale;1
Werder Bremen;Panathinaikos;2
Internazionale;Panathinaikos;2
Anorthosis Famagusta;Werder Bremen;1
Panathinaikos;Anorthosis Famagusta;0
Werder Bremen;Internazionale;0
Basel;Shakhtar Donetsk;2
Barcelona;Sporting CP;0
Sporting CP;Basel;0
Shakhtar Donetsk;Barcelona;2
Shakhtar Donetsk;Sporting CP;2
Basel;Barcelona;2
Sporting CP;Shakhtar Donetsk;0
Barcelona;Basel;1
Shakhtar Donetsk;Basel;0
Sporting CP;Barcelona;2
Basel;Sporting CP;2
Barcelona;Shakhtar Donetsk;2
PSV Eindhoven;Atltico Madrid;2
Marseille;Liverpool;2
Liverpool;PSV Eindhoven;0
Atltico Madrid;Marseille;0
Atltico Madrid;Liverpool;1
PSV Eindhoven;Marseille;0
Liverpool;Atltico Madrid;1
Marseille;PSV Eindhoven;0
Atltico Madrid;PSV Eindhoven;0
Liverpool;Marseille;0
PSV Eindhoven;Liverpool;2
Marseille;Atltico Madrid;1
Manchester United;Villarreal;1
Celtic;Aalborg BK;1
Aalborg BK;Manchester United;2
Villarreal;Celtic;0
Villarreal;Aalborg BK;0
Manchester United;Celtic;0
Aalborg BK;Villarreal;1
Celtic;Manchester United;1
Villarreal;Manchester United;1
Aalborg BK;Celtic;0
Manchester United;Aalborg BK;1
Celtic;Villarreal;0
Steaua Bucureti;Bayern Munich;2
Lyon;Fiorentina;1
Fiorentina;Steaua Bucureti;1
Bayern Munich;Lyon;1
Bayern Munich;Fiorentina;0
Steaua Bucureti;Lyon;2
Fiorentina;Bayern Munich;1
Lyon;Steaua Bucureti;0
Bayern Munich;Steaua Bucureti;0
Fiorentina;Lyon;2
Steaua Bucureti;Fiorentina;2
Lyon;Bayern Munich;2
Porto;Fenerbahe;0
Dynamo Kyiv;Arsenal;1
Arsenal;Porto;0
Fenerbahe;Dynamo Kyiv;1
Fenerbahe;Arsenal;2
Porto;Dynamo Kyiv;2
Arsenal;Fenerbahe;1
Dynamo Kyiv;Porto;2
Fenerbahe;Porto;2
Arsenal;Dynamo Kyiv;0
Porto;Arsenal;0
Dynamo Kyiv;Fenerbahe;0
Juventus;Zenit Saint Petersburg;0
Real Madrid;BATE Borisov;0
Zenit Saint Petersburg;Real Madrid;2
BATE Borisov;Juventus;1
Zenit Saint Petersburg;BATE Borisov;1
Juventus;Real Madrid;0
BATE Borisov;Zenit Saint Petersburg;2
Real Madrid;Juventus;2
Zenit Saint Petersburg;Juventus;1
BATE Borisov;Real Madrid;2
Juventus;BATE Borisov;1
Real Madrid;Zenit Saint Petersburg;0
Juventus;Bordeaux;1
Maccabi Haifa;Bayern Munich;2
Bayern Munich;Juventus;1
Bordeaux;Maccabi Haifa;0
Bordeaux;Bayern Munich;0
Juventus;Maccabi Haifa;0
Bayern Munich;Bordeaux;2
Maccabi Haifa;Juventus;2
Bordeaux;Juventus;0
Bayern Munich;Maccabi Haifa;0
Juventus;Bayern Munich;2
Maccabi Haifa;Bordeaux;2
Wolfsburg;CSKA Moscow;0
Beikta;Manchester United;2
CSKA Moscow;Beikta;0
Manchester United;Wolfsburg;0
CSKA Moscow;Manchester United;2
Wolfsburg;Beikta;1
Manchester United;CSKA Moscow;1
Beikta;Wolfsburg;2
CSKA Moscow;Wolfsburg;0
Manchester United;Beikta;2
Wolfsburg;Manchester United;2
Beikta;CSKA Moscow;2
Zrich;Real Madrid;2
Marseille;Milan;2
Milan;Zrich;2
Real Madrid;Marseille;0
Real Madrid;Milan;2
Zrich;Marseille;2
Milan;Real Madrid;1
Marseille;Zrich;0
Real Madrid;Zrich;0
Milan;Marseille;1
Zrich;Milan;1
Marseille;Real Madrid;2
Chelsea;Porto;0
Atltico Madrid;APOEL;1
APOEL;Chelsea;2
Porto;Atltico Madrid;0
Porto;APOEL;0
Chelsea;Atltico Madrid;0
APOEL;Porto;2
Atltico Madrid;Chelsea;1
Porto;Chelsea;2
APOEL;Atltico Madrid;1
Chelsea;APOEL;1
Atltico Madrid;Porto;2
Liverpool;Debrecen;0
Lyon;Fiorentina;0
Fiorentina;Liverpool;0
Debrecen;Lyon;2
Debrecen;Fiorentina;2
Liverpool;Lyon;2
Fiorentina;Debrecen;0
Lyon;Liverpool;1
Debrecen;Liverpool;2
Fiorentina;Lyon;0
Liverpool;Fiorentina;2
Lyon;Debrecen;0
Inter Milan;Barcelona;1
Dynamo Kyiv;Rubin Kazan;0
Rubin Kazan;Inter Milan;1
Barcelona;Dynamo Kyiv;0
Barcelona;Rubin Kazan;2
Inter Milan;Dynamo Kyiv;1
Rubin Kazan;Barcelona;1
Dynamo Kyiv;Inter Milan;2
Rubin Kazan;Dynamo Kyiv;1
Barcelona;Inter Milan;0
Inter Milan;Rubin Kazan;0
Dynamo Kyiv;Barcelona;2
Stuttgart;Rangers;1
Sevilla;Unirea Urziceni;0
Unirea Urziceni;Stuttgart;1
Rangers;Sevilla;2
Rangers;Unirea Urziceni;2
Stuttgart;Sevilla;2
Unirea Urziceni;Rangers;1
Sevilla;Stuttgart;1
Rangers;Stuttgart;2
Unirea Urziceni;Sevilla;0
Stuttgart;Unirea Urziceni;0
Sevilla;Rangers;0
Olympiacos;AZ;0
Standard Lige;Arsenal;2
Arsenal;Olympiacos;0
AZ;Standard Lige;1
AZ;Arsenal;1
Olympiacos;Standard Lige;0
Arsenal;AZ;0
Standard Lige;Olympiacos;0
AZ;Olympiacos;1
Arsenal;Standard Lige;0
Olympiacos;Arsenal;0
Standard Lige;AZ;1
Twente;Internazionale;1
Werder Bremen;Tottenham Hotspur;1
Tottenham Hotspur;Twente;0
Internazionale;Werder Bremen;0
Internazionale;Tottenham Hotspur;0
Twente;Werder Bremen;1
Tottenham Hotspur;Internazionale;0
Werder Bremen;Twente;2
Internazionale;Twente;0
Tottenham Hotspur;Werder Bremen;0
Twente;Tottenham Hotspur;1
Werder Bremen;Internazionale;0
Lyon;Schalke 04;0
Benfica;Hapoel Tel Aviv;0
Hapoel Tel Aviv;Lyon;2
Schalke 04;Benfica;0
Schalke 04;Hapoel Tel Aviv;0
Lyon;Benfica;0
Hapoel Tel Aviv;Schalke 04;1
Benfica;Lyon;0
Schalke 04;Lyon;0
Hapoel Tel Aviv;Benfica;0
Lyon;Hapoel Tel Aviv;1
Benfica;Schalke 04;2
Manchester United;Rangers;1
Bursaspor;Valencia;2
Valencia;Manchester United;2
Rangers;Bursaspor;0
Rangers;Valencia;1
Manchester United;Bursaspor;0
Valencia;Rangers;0
Bursaspor;Manchester United;2
Rangers;Manchester United;2
Valencia;Bursaspor;0
Manchester United;Valencia;1
Bursaspor;Rangers;1
Barcelona;Panathinaikos;0
Copenhagen;Rubin Kazan;0
Rubin Kazan;Barcelona;1
Panathinaikos;Copenhagen;2
Panathinaikos;Rubin Kazan;1
Barcelona;Copenhagen;0
Rubin Kazan;Panathinaikos;1
Copenhagen;Barcelona;1
Rubin Kazan;Copenhagen;0
Panathinaikos;Barcelona;2
Barcelona;Rubin Kazan;0
Copenhagen;Panathinaikos;0
Bayern Munich;Roma;0
CFR Cluj;Basel;0
Basel;Bayern Munich;2
Roma;CFR Cluj;0
Roma;Basel;2
Bayern Munich;CFR Cluj;0
Basel;Roma;2
CFR Cluj;Bayern Munich;2
Roma;Bayern Munich;0
Basel;CFR Cluj;0
Bayern Munich;Basel;0
CFR Cluj;Roma;1
Marseille;Spartak Moscow;2
ilina;Chelsea;2
Spartak Moscow;ilina;0
Chelsea;Marseille;0
Spartak Moscow;Chelsea;2
Marseille;ilina;0
Chelsea;Spartak Moscow;0
ilina;Marseille;2
Spartak Moscow;Marseille;2
Chelsea;ilina;0
Marseille;Chelsea;0
ilina;Spartak Moscow;2
Real Madrid;Ajax;0
Milan;Auxerre;0
Auxerre;Real Madrid;2
Ajax;Milan;1
Ajax;Auxerre;0
Real Madrid;Milan;0
Auxerre;Ajax;0
Milan;Real Madrid;1
Ajax;Real Madrid;2
Auxerre;Milan;2
Real Madrid;Auxerre;0
Milan;Ajax;2
Arsenal;Braga;0
Shakhtar Donetsk;Partizan;0
Partizan;Arsenal;2
Braga;Shakhtar Donetsk;2
Braga;Partizan;0
Arsenal;Shakhtar Donetsk;0
Partizan;Braga;2
Shakhtar Donetsk;Arsenal;0
Braga;Arsenal;0
Partizan;Shakhtar Donetsk;2
Arsenal;Partizan;0
Shakhtar Donetsk;Braga;0
Manchester City;Napoli;1
Villarreal;Bayern Munich;2
Bayern Munich;Manchester City;0
Napoli;Villarreal;0
Napoli;Bayern Munich;1
Manchester City;Villarreal;0
Bayern Munich;Napoli;0
Villarreal;Manchester City;2
Napoli;Manchester City;0
Bayern Munich;Villarreal;0
Manchester City;Bayern Munich;0
Villarreal;Napoli;2
Lille;CSKA Moscow;1
Internazionale;Trabzonspor;2
CSKA Moscow;Internazionale;2
Trabzonspor;Lille;1
CSKA Moscow;Trabzonspor;0
Lille;Internazionale;2
Trabzonspor;CSKA Moscow;1
Internazionale;Lille;0
CSKA Moscow;Lille;2
Trabzonspor;Internazionale;1
Lille;Trabzonspor;1
Internazionale;CSKA Moscow;2
Basel;Oelul Galai;0
Benfica;Manchester United;1
Manchester United;Basel;1
Oelul Galai;Benfica;2
Oelul Galai;Manchester United;2
Basel;Benfica;2
Manchester United;Oelul Galai;0
Benfica;Basel;1
Oelul Galai;Basel;2
Manchester United;Benfica;1
Basel;Manchester United;0
Benfica;Oelul Galai;0
Dinamo Zagreb;Real Madrid;2
Ajax;Lyon;1
Lyon;Dinamo Zagreb;0
Real Madrid;Ajax;0
Real Madrid;Lyon;0
Dinamo Zagreb;Ajax;2
Lyon;Real Madrid;2
Ajax;Dinamo Zagreb;0
Real Madrid;Dinamo Zagreb;0
Lyon;Ajax;1
Dinamo Zagreb;Lyon;2
Ajax;Real Madrid;2
Chelsea;Bayer Leverkusen;0
Genk;Valencia;1
Valencia;Chelsea;1
Bayer Leverkusen;Genk;0
Bayer Leverkusen;Valencia;0
Chelsea;Genk;0
Valencia;Bayer Leverkusen;0
Genk;Chelsea;1
Bayer Leverkusen;Chelsea;0
Valencia;Genk;0
Chelsea;Valencia;0
Genk;Bayer Leverkusen;1
Olympiacos;Marseille;2
Borussia Dortmund;Arsenal;1
Arsenal;Olympiacos;0
Marseille;Borussia Dortmund;0
Marseille;Arsenal;2
Olympiacos;Borussia Dortmund;0
Arsenal;Marseille;1
Borussia Dortmund;Olympiacos;0
Marseille;Olympiacos;2
Arsenal;Borussia Dortmund;0
Olympiacos;Arsenal;0
Borussia Dortmund;Marseille;2
Porto;Shakhtar Donetsk;0
APOEL;Zenit Saint Petersburg;0
Zenit Saint Petersburg;Porto;0
Shakhtar Donetsk;APOEL;1
Shakhtar Donetsk;Zenit Saint Petersburg;1
Porto;APOEL;1
Zenit Saint Petersburg;Shakhtar Donetsk;0
APOEL;Porto;0
Zenit Saint Petersburg;APOEL;1
Shakhtar Donetsk;Porto;2
Porto;Zenit Saint Petersburg;1
APOEL;Shakhtar Donetsk;2
Barcelona;Milan;1
Viktoria Plze;BATE Borisov;1
BATE Borisov;Barcelona;2
Milan;Viktoria Plze;0
Milan;BATE Borisov;0
Barcelona;Viktoria Plze;0
BATE Borisov;Milan;1
Viktoria Plze;Barcelona;2
BATE Borisov;Viktoria Plze;2
Milan;Barcelona;2
Barcelona;BATE Borisov;0
Viktoria Plze;Milan;1
Dinamo Zagreb;Porto;2
Paris SaintGermain;Dynamo Kyiv;0
Dynamo Kyiv;Dinamo Zagreb;0
Porto;Paris SaintGermain;0
Porto;Dynamo Kyiv;0
Dinamo Zagreb;Paris SaintGermain;2
Dynamo Kyiv;Porto;1
Paris SaintGermain;Dinamo Zagreb;0
Porto;Dinamo Zagreb;0
Dynamo Kyiv;Paris SaintGermain;2
Dinamo Zagreb;Dynamo Kyiv;1
Paris SaintGermain;Porto;0
Montpellier;Arsenal;2
Olympiacos;Schalke 04;2
Schalke 04;Montpellier;1
Arsenal;Olympiacos;0
Arsenal;Schalke 04;2
Montpellier;Olympiacos;2
Schalke 04;Arsenal;1
Olympiacos;Montpellier;0
Arsenal;Montpellier;0
Schalke 04;Olympiacos;0
Montpellier;Schalke 04;1
Olympiacos;Arsenal;0
